1
9 42
2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 5 6 0
0 0 0 0 0 7 0 0 3
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 3 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 9 0 0 0 0 0 0
1 4 2 4
2 5 1 5
2 9 1 9
2 2 3 2
3 7 2 7
4 1 3 1
4 4 3 4
3 7 4 7
4 9 3 9
5 1 4 1
4 2 5 2
4 6 5 6
4 9 5 9
6 3 5 3
5 7 6 7
7 3 6 3
6 4 7 4
7 5 6 5
6 6 7 6
7 9 6 9
8 1 7 1
7 7 8 7
8 9 7 9
9 1 8 1
9 2 8 2
9 4 8 4
8 5 9 5
1 9 1 8
2 2 2 1
2 4 2 3
2 7 2 6
3 4 3 5
4 2 4 3
4 6 4 5
4 8 4 9
5 9 5 8
7 6 7 5
7 6 7 7
7 8 7 9
8 4 8 5
8 8 8 9
9 7 9 8
