1
9 42
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 9 0 0 0 0
0 0 0 4 0 0 0 0 0
0 0 0 2 0 0 0 0 0
1 2 2 2
2 4 1 4
2 5 1 5
1 8 2 8
4 1 3 1
4 7 3 7
3 8 4 8
5 1 4 1
5 4 4 4
4 7 5 7
4 8 5 8
6 2 5 2
6 4 5 4
5 6 6 6
6 1 7 1
7 2 6 2
7 1 8 1
8 9 7 9
8 1 9 1
8 7 9 7
8 8 9 8
1 2 1 1
1 4 1 5
1 7 1 8
2 2 2 1
2 6 2 5
2 6 2 7
4 2 4 3
4 3 4 4
4 4 4 5
4 6 4 7
5 6 5 5
6 3 6 4
6 6 6 5
6 6 6 7
7 8 7 9
8 3 8 4
8 4 8 5
8 6 8 7
9 2 9 3
9 4 9 5
9 7 9 6
